,team,player,pass_outcome,pass_goal_assist,location,pass_end_location,x,y,endx,endy
484,Barcelona,Andrés Iniesta Luján,Complete,,"[41.0, 25.0]","[28.0, 15.0]",41.0,25.0,28.0,15.0
487,Barcelona,Andrés Iniesta Luján,Complete,,"[45.0, 19.0]","[42.0, 30.0]",45.0,19.0,42.0,30.0
490,Barcelona,Andrés Iniesta Luján,Complete,,"[63.0, 22.0]","[66.0, 2.0]",63.0,22.0,66.0,2.0
535,Barcelona,Andrés Iniesta Luján,Complete,,"[82.0, 8.0]","[89.0, 3.0]",82.0,8.0,89.0,3.0
537,Barcelona,Andrés Iniesta Luján,Incomplete,,"[92.0, 16.0]","[107.0, 46.0]",92.0,16.0,107.0,46.0
538,Barcelona,Andrés Iniesta Luján,Complete,,"[88.0, 28.0]","[90.0, 34.0]",88.0,28.0,90.0,34.0
549,Barcelona,Andrés Iniesta Luján,Complete,,"[79.0, 22.0]","[77.0, 34.0]",79.0,22.0,77.0,34.0
551,Barcelona,Andrés Iniesta Luján,Complete,,"[79.0, 31.0]","[98.0, 30.0]",79.0,31.0,98.0,30.0
555,Barcelona,Andrés Iniesta Luján,Complete,,"[78.0, 11.0]","[79.0, 67.0]",78.0,11.0,79.0,67.0
558,Barcelona,Andrés Iniesta Luján,Complete,,"[75.0, 13.0]","[79.0, 33.0]",75.0,13.0,79.0,33.0
560,Barcelona,Andrés Iniesta Luján,Complete,,"[84.0, 51.0]","[83.0, 41.0]",84.0,51.0,83.0,41.0
562,Barcelona,Andrés Iniesta Luján,Complete,,"[77.0, 41.0]","[80.0, 27.0]",77.0,41.0,80.0,27.0
568,Barcelona,Andrés Iniesta Luján,Incomplete,,"[77.0, 41.0]","[91.0, 25.0]",77.0,41.0,91.0,25.0
576,Barcelona,Andrés Iniesta Luján,Complete,,"[50.0, 46.0]","[64.0, 34.0]",50.0,46.0,64.0,34.0
578,Barcelona,Andrés Iniesta Luján,Complete,,"[66.0, 46.0]","[69.0, 24.0]",66.0,46.0,69.0,24.0
600,Barcelona,Andrés Iniesta Luján,Complete,,"[81.0, 52.0]","[78.0, 42.0]",81.0,52.0,78.0,42.0
649,Barcelona,Andrés Iniesta Luján,Complete,,"[79.0, 65.0]","[99.0, 75.0]",79.0,65.0,99.0,75.0
667,Barcelona,Andrés Iniesta Luján,Complete,,"[81.0, 64.0]","[95.0, 75.0]",81.0,64.0,95.0,75.0
681,Barcelona,Andrés Iniesta Luján,Out,,"[90.0, 38.0]","[120.0, 25.0]",90.0,38.0,120.0,25.0
711,Barcelona,Andrés Iniesta Luján,Complete,,"[82.0, 36.0]","[90.0, 42.0]",82.0,36.0,90.0,42.0
713,Barcelona,Andrés Iniesta Luján,Complete,,"[83.0, 46.0]","[100.0, 60.0]",83.0,46.0,100.0,60.0
716,Barcelona,Andrés Iniesta Luján,Complete,,"[83.0, 26.0]","[104.0, 5.0]",83.0,26.0,104.0,5.0
718,Barcelona,Andrés Iniesta Luján,Complete,,"[73.0, 29.0]","[63.0, 47.0]",73.0,29.0,63.0,47.0
733,Barcelona,Andrés Iniesta Luján,Complete,,"[72.0, 38.0]","[66.0, 46.0]",72.0,38.0,66.0,46.0
736,Barcelona,Andrés Iniesta Luján,Complete,,"[82.0, 19.0]","[82.0, 35.0]",82.0,19.0,82.0,35.0
738,Barcelona,Andrés Iniesta Luján,Complete,True,"[82.0, 27.0]","[82.0, 47.0]",82.0,27.0,82.0,47.0
755,Barcelona,Andrés Iniesta Luján,Complete,,"[65.0, 29.0]","[63.0, 27.0]",65.0,29.0,63.0,27.0
756,Barcelona,Andrés Iniesta Luján,Complete,,"[77.0, 27.0]","[68.0, 33.0]",77.0,27.0,68.0,33.0
758,Barcelona,Andrés Iniesta Luján,Complete,,"[69.0, 25.0]","[79.0, 37.0]",69.0,25.0,79.0,37.0
760,Barcelona,Andrés Iniesta Luján,Complete,,"[61.0, 29.0]","[50.0, 51.0]",61.0,29.0,50.0,51.0
798,Barcelona,Andrés Iniesta Luján,Complete,,"[39.0, 62.0]","[36.0, 67.0]",39.0,62.0,36.0,67.0
811,Barcelona,Andrés Iniesta Luján,Complete,,"[64.0, 33.0]","[68.0, 41.0]",64.0,33.0,68.0,41.0
813,Barcelona,Andrés Iniesta Luján,Complete,,"[79.0, 34.0]","[97.0, 10.0]",79.0,34.0,97.0,10.0
815,Barcelona,Andrés Iniesta Luján,Complete,,"[89.0, 34.0]","[100.0, 33.0]",89.0,34.0,100.0,33.0
819,Barcelona,Andrés Iniesta Luján,Complete,,"[78.0, 37.0]","[90.0, 26.0]",78.0,37.0,90.0,26.0
823,Barcelona,Andrés Iniesta Luján,Complete,,"[77.0, 37.0]","[66.0, 30.0]",77.0,37.0,66.0,30.0
832,Barcelona,Andrés Iniesta Luján,Complete,,"[62.0, 49.0]","[41.0, 40.0]",62.0,49.0,41.0,40.0
836,Barcelona,Andrés Iniesta Luján,Complete,,"[73.0, 46.0]","[69.0, 41.0]",73.0,46.0,69.0,41.0
838,Barcelona,Andrés Iniesta Luján,Complete,,"[75.0, 48.0]","[68.0, 54.0]",75.0,48.0,68.0,54.0
840,Barcelona,Andrés Iniesta Luján,Complete,,"[74.0, 53.0]","[74.0, 48.0]",74.0,53.0,74.0,48.0
851,Barcelona,Andrés Iniesta Luján,Complete,,"[69.0, 49.0]","[66.0, 36.0]",69.0,49.0,66.0,36.0
854,Barcelona,Andrés Iniesta Luján,Complete,,"[78.0, 48.0]","[79.0, 40.0]",78.0,48.0,79.0,40.0
857,Barcelona,Andrés Iniesta Luján,Complete,,"[71.0, 49.0]","[74.0, 62.0]",71.0,49.0,74.0,62.0
867,Barcelona,Andrés Iniesta Luján,Complete,,"[92.0, 40.0]","[92.0, 51.0]",92.0,40.0,92.0,51.0
869,Barcelona,Andrés Iniesta Luján,Complete,,"[85.0, 39.0]","[88.0, 51.0]",85.0,39.0,88.0,51.0
883,Barcelona,Andrés Iniesta Luján,Complete,,"[78.0, 32.0]","[86.0, 16.0]",78.0,32.0,86.0,16.0
889,Barcelona,Andrés Iniesta Luján,Complete,,"[83.0, 35.0]","[83.0, 26.0]",83.0,35.0,83.0,26.0
897,Barcelona,Andrés Iniesta Luján,Complete,,"[104.0, 13.0]","[89.0, 21.0]",104.0,13.0,89.0,21.0
902,Barcelona,Andrés Iniesta Luján,Complete,,"[90.0, 8.0]","[82.0, 8.0]",90.0,8.0,82.0,8.0
904,Barcelona,Andrés Iniesta Luján,Complete,,"[100.0, 32.0]","[95.0, 40.0]",100.0,32.0,95.0,40.0
940,Barcelona,Andrés Iniesta Luján,Complete,,"[42.0, 33.0]","[45.0, 41.0]",42.0,33.0,45.0,41.0
947,Barcelona,Andrés Iniesta Luján,Complete,,"[38.0, 28.0]","[42.0, 61.0]",38.0,28.0,42.0,61.0
967,Barcelona,Andrés Iniesta Luján,Complete,,"[59.0, 36.0]","[65.0, 14.0]",59.0,36.0,65.0,14.0
969,Barcelona,Andrés Iniesta Luján,Complete,,"[65.0, 25.0]","[70.0, 10.0]",65.0,25.0,70.0,10.0
971,Barcelona,Andrés Iniesta Luján,Complete,,"[59.0, 18.0]","[42.0, 25.0]",59.0,18.0,42.0,25.0
996,Barcelona,Andrés Iniesta Luján,Complete,,"[63.0, 33.0]","[54.0, 40.0]",63.0,33.0,54.0,40.0
1016,Barcelona,Andrés Iniesta Luján,Complete,,"[64.0, 30.0]","[74.0, 9.0]",64.0,30.0,74.0,9.0
1019,Barcelona,Andrés Iniesta Luján,Complete,,"[59.0, 28.0]","[58.0, 37.0]",59.0,28.0,58.0,37.0
1033,Barcelona,Andrés Iniesta Luján,Complete,,"[42.0, 35.0]","[38.0, 51.0]",42.0,35.0,38.0,51.0
1036,Barcelona,Andrés Iniesta Luján,Complete,,"[52.0, 59.0]","[43.0, 65.0]",52.0,59.0,43.0,65.0
1050,Barcelona,Andrés Iniesta Luján,Incomplete,,"[58.0, 31.0]","[86.0, 12.0]",58.0,31.0,86.0,12.0
1067,Barcelona,Andrés Iniesta Luján,Complete,,"[77.0, 12.0]","[85.0, 3.0]",77.0,12.0,85.0,3.0
1069,Barcelona,Andrés Iniesta Luján,Incomplete,,"[80.0, 3.0]","[84.0, 14.0]",80.0,3.0,84.0,14.0
1091,Barcelona,Andrés Iniesta Luján,Complete,,"[66.0, 29.0]","[72.0, 39.0]",66.0,29.0,72.0,39.0
1093,Barcelona,Andrés Iniesta Luján,Complete,,"[80.0, 35.0]","[73.0, 32.0]",80.0,35.0,73.0,32.0
1142,Barcelona,Andrés Iniesta Luján,Complete,,"[58.0, 32.0]","[49.0, 22.0]",58.0,32.0,49.0,22.0
1178,Barcelona,Andrés Iniesta Luján,Complete,,"[58.0, 41.0]","[50.0, 10.0]",58.0,41.0,50.0,10.0
1220,Barcelona,Andrés Iniesta Luján,Complete,,"[64.0, 41.0]","[68.0, 48.0]",64.0,41.0,68.0,48.0
1222,Barcelona,Andrés Iniesta Luján,Complete,,"[64.0, 45.0]","[57.0, 69.0]",64.0,45.0,57.0,69.0
