,team,player,pass_outcome,pass_goal_assist,location,pass_end_location,x,y,endx,endy
873,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[109.0, 56.0]","[108.0, 44.0]",109.0,56.0,108.0,44.0
890,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[83.0, 30.0]","[75.0, 33.0]",83.0,30.0,75.0,33.0
895,Barcelona,Lionel Andrés Messi Cuccittini,Incomplete,,"[92.0, 48.0]","[105.0, 38.0]",92.0,48.0,105.0,38.0
905,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[95.0, 40.0]","[99.0, 51.0]",95.0,40.0,99.0,51.0
908,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[120.0, 80.0]","[117.0, 78.0]",120.0,80.0,117.0,78.0
910,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[104.0, 78.0]","[78.0, 72.0]",104.0,78.0,78.0,72.0
913,Barcelona,Lionel Andrés Messi Cuccittini,Incomplete,,"[112.0, 56.0]","[108.0, 52.0]",112.0,56.0,108.0,52.0
943,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[51.0, 35.0]","[43.0, 40.0]",51.0,35.0,43.0,40.0
945,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[49.0, 42.0]","[56.0, 55.0]",49.0,42.0,56.0,55.0
949,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[70.0, 72.0]","[59.0, 73.0]",70.0,72.0,59.0,73.0
952,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[63.0, 61.0]","[63.0, 43.0]",63.0,61.0,63.0,43.0
955,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[99.0, 55.0]","[105.0, 40.0]",99.0,55.0,105.0,40.0
966,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[65.0, 49.0]","[56.0, 36.0]",65.0,49.0,56.0,36.0
998,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[62.0, 46.0]","[55.0, 44.0]",62.0,46.0,55.0,44.0
1035,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[58.0, 52.0]","[54.0, 60.0]",58.0,52.0,54.0,60.0
1053,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[79.0, 21.0]","[72.0, 38.0]",79.0,21.0,72.0,38.0
1060,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[71.0, 56.0]","[75.0, 51.0]",71.0,56.0,75.0,51.0
1063,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[58.0, 45.0]","[58.0, 26.0]",58.0,45.0,58.0,26.0
1095,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[72.0, 50.0]","[56.0, 63.0]",72.0,50.0,56.0,63.0
1176,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[63.0, 44.0]","[59.0, 27.0]",63.0,44.0,59.0,27.0
1208,Barcelona,Lionel Andrés Messi Cuccittini,Complete,,"[88.0, 50.0]","[101.0, 59.0]",88.0,50.0,101.0,59.0
