,team,player,pass_outcome,pass_goal_assist,location,pass_end_location,x,y,endx,endy
371,Barcelona,Xavier Hernández Creus,Complete,,"[74.0, 45.0]","[77.0, 6.0]",74.0,45.0,77.0,6.0
375,Barcelona,Xavier Hernández Creus,Incomplete,,"[102.0, 37.0]","[103.0, 43.0]",102.0,37.0,103.0,43.0
404,Barcelona,Xavier Hernández Creus,Incomplete,,"[52.0, 56.0]","[47.0, 56.0]",52.0,56.0,47.0,56.0
417,Barcelona,Xavier Hernández Creus,Complete,,"[50.0, 45.0]","[66.0, 35.0]",50.0,45.0,66.0,35.0
425,Barcelona,Xavier Hernández Creus,Complete,,"[57.0, 35.0]","[47.0, 30.0]",57.0,35.0,47.0,30.0
429,Barcelona,Xavier Hernández Creus,Complete,True,"[89.0, 34.0]","[104.0, 48.0]",89.0,34.0,104.0,48.0
435,Barcelona,Xavier Hernández Creus,Complete,,"[44.0, 29.0]","[43.0, 46.0]",44.0,29.0,43.0,46.0
451,Barcelona,Xavier Hernández Creus,Complete,,"[67.0, 49.0]","[88.0, 64.0]",67.0,49.0,88.0,64.0
457,Barcelona,Xavier Hernández Creus,Complete,,"[82.0, 18.0]","[87.0, 3.0]",82.0,18.0,87.0,3.0
459,Barcelona,Xavier Hernández Creus,Complete,,"[79.0, 11.0]","[73.0, 21.0]",79.0,11.0,73.0,21.0
464,Barcelona,Xavier Hernández Creus,Complete,,"[92.0, 45.0]","[111.0, 65.0]",92.0,45.0,111.0,65.0
477,Barcelona,Xavier Hernández Creus,Complete,,"[33.0, 55.0]","[35.0, 64.0]",33.0,55.0,35.0,64.0
483,Barcelona,Xavier Hernández Creus,Complete,,"[33.0, 36.0]","[41.0, 25.0]",33.0,36.0,41.0,25.0
493,Barcelona,Xavier Hernández Creus,Complete,,"[56.0, 23.0]","[65.0, 34.0]",56.0,23.0,65.0,34.0
498,Barcelona,Xavier Hernández Creus,Complete,,"[63.0, 52.0]","[67.0, 74.0]",63.0,52.0,67.0,74.0
514,Barcelona,Xavier Hernández Creus,Complete,,"[56.0, 52.0]","[36.0, 49.0]",56.0,52.0,36.0,49.0
516,Barcelona,Xavier Hernández Creus,Complete,,"[50.0, 49.0]","[41.0, 54.0]",50.0,49.0,41.0,54.0
527,Barcelona,Xavier Hernández Creus,Complete,,"[35.0, 57.0]","[34.0, 31.0]",35.0,57.0,34.0,31.0
529,Barcelona,Xavier Hernández Creus,Complete,,"[33.0, 44.0]","[26.0, 52.0]",33.0,44.0,26.0,52.0
532,Barcelona,Xavier Hernández Creus,Complete,,"[79.0, 29.0]","[67.0, 31.0]",79.0,29.0,67.0,31.0
548,Barcelona,Xavier Hernández Creus,Complete,,"[72.0, 52.0]","[79.0, 21.0]",72.0,52.0,79.0,21.0
550,Barcelona,Xavier Hernández Creus,Complete,,"[77.0, 34.0]","[74.0, 24.0]",77.0,34.0,74.0,24.0
557,Barcelona,Xavier Hernández Creus,Complete,,"[80.0, 34.0]","[79.0, 12.0]",80.0,34.0,79.0,12.0
567,Barcelona,Xavier Hernández Creus,Complete,,"[76.0, 14.0]","[77.0, 44.0]",76.0,14.0,77.0,44.0
577,Barcelona,Xavier Hernández Creus,Complete,,"[70.0, 39.0]","[63.0, 47.0]",70.0,39.0,63.0,47.0
579,Barcelona,Xavier Hernández Creus,Complete,,"[69.0, 24.0]","[84.0, 25.0]",69.0,24.0,84.0,25.0
591,Barcelona,Xavier Hernández Creus,Complete,,"[48.0, 39.0]","[64.0, 38.0]",48.0,39.0,64.0,38.0
596,Barcelona,Xavier Hernández Creus,Complete,,"[84.0, 40.0]","[86.0, 29.0]",84.0,40.0,86.0,29.0
598,Barcelona,Xavier Hernández Creus,Complete,,"[84.0, 43.0]","[89.0, 56.0]",84.0,43.0,89.0,56.0
601,Barcelona,Xavier Hernández Creus,Complete,,"[78.0, 42.0]","[84.0, 31.0]",78.0,42.0,84.0,31.0
604,Barcelona,Xavier Hernández Creus,Complete,,"[90.0, 22.0]","[98.0, 43.0]",90.0,22.0,98.0,43.0
643,Barcelona,Xavier Hernández Creus,Complete,,"[48.0, 46.0]","[49.0, 61.0]",48.0,46.0,49.0,61.0
646,Barcelona,Xavier Hernández Creus,Complete,,"[120.0, 80.0]","[115.0, 76.0]",120.0,80.0,115.0,76.0
648,Barcelona,Xavier Hernández Creus,Complete,,"[100.0, 75.0]","[79.0, 65.0]",100.0,75.0,79.0,65.0
651,Barcelona,Xavier Hernández Creus,Complete,,"[94.0, 54.0]","[111.0, 22.0]",94.0,54.0,111.0,22.0
660,Barcelona,Xavier Hernández Creus,Complete,,"[82.0, 45.0]","[86.0, 40.0]",82.0,45.0,86.0,40.0
663,Barcelona,Xavier Hernández Creus,Complete,,"[120.0, 80.0]","[118.0, 75.0]",120.0,80.0,118.0,75.0
665,Barcelona,Xavier Hernández Creus,Complete,,"[100.0, 69.0]","[106.0, 77.0]",100.0,69.0,106.0,77.0
669,Barcelona,Xavier Hernández Creus,Unknown,,"[98.0, 53.0]","[116.0, 36.0]",98.0,53.0,116.0,36.0
674,Barcelona,Xavier Hernández Creus,Complete,,"[26.0, 68.0]","[38.0, 78.0]",26.0,68.0,38.0,78.0
677,Barcelona,Xavier Hernández Creus,Complete,,"[53.0, 50.0]","[45.0, 36.0]",53.0,50.0,45.0,36.0
679,Barcelona,Xavier Hernández Creus,Complete,,"[82.0, 43.0]","[94.0, 56.0]",82.0,43.0,94.0,56.0
688,Barcelona,Xavier Hernández Creus,Complete,,"[52.0, 45.0]","[42.0, 35.0]",52.0,45.0,42.0,35.0
690,Barcelona,Xavier Hernández Creus,Incomplete,,"[58.0, 60.0]","[70.0, 59.0]",58.0,60.0,70.0,59.0
703,Barcelona,Xavier Hernández Creus,Complete,,"[65.0, 65.0]","[72.0, 78.0]",65.0,65.0,72.0,78.0
710,Barcelona,Xavier Hernández Creus,Complete,,"[68.0, 44.0]","[85.0, 34.0]",68.0,44.0,85.0,34.0
714,Barcelona,Xavier Hernández Creus,Complete,,"[120.0, 1.0]","[110.0, 7.0]",120.0,1.0,110.0,7.0
717,Barcelona,Xavier Hernández Creus,Complete,,"[103.0, 6.0]","[81.0, 21.0]",103.0,6.0,81.0,21.0
729,Barcelona,Xavier Hernández Creus,Complete,,"[55.0, 60.0]","[56.0, 71.0]",55.0,60.0,56.0,71.0
732,Barcelona,Xavier Hernández Creus,Complete,,"[63.0, 47.0]","[72.0, 36.0]",63.0,47.0,72.0,36.0
734,Barcelona,Xavier Hernández Creus,Complete,,"[70.0, 41.0]","[92.0, 4.0]",70.0,41.0,92.0,4.0
737,Barcelona,Xavier Hernández Creus,Complete,,"[82.0, 35.0]","[82.0, 27.0]",82.0,35.0,82.0,27.0
757,Barcelona,Xavier Hernández Creus,Complete,,"[68.0, 33.0]","[71.0, 25.0]",68.0,33.0,71.0,25.0
770,Barcelona,Xavier Hernández Creus,Incomplete,,"[43.0, 52.0]","[61.0, 28.0]",43.0,52.0,61.0,28.0
781,Barcelona,Xavier Hernández Creus,Complete,,"[44.0, 32.0]","[37.0, 67.0]",44.0,32.0,37.0,67.0
800,Barcelona,Xavier Hernández Creus,Complete,,"[56.0, 46.0]","[59.0, 43.0]",56.0,46.0,59.0,43.0
802,Barcelona,Xavier Hernández Creus,Complete,,"[56.0, 40.0]","[51.0, 21.0]",56.0,40.0,51.0,21.0
804,Barcelona,Xavier Hernández Creus,Incomplete,,"[55.0, 27.0]","[56.0, 42.0]",55.0,27.0,56.0,42.0
810,Barcelona,Xavier Hernández Creus,Complete,,"[61.0, 45.0]","[64.0, 33.0]",61.0,45.0,64.0,33.0
817,Barcelona,Xavier Hernández Creus,Complete,,"[83.0, 11.0]","[79.0, 24.0]",83.0,11.0,79.0,24.0
821,Barcelona,Xavier Hernández Creus,Complete,,"[70.0, 28.0]","[78.0, 25.0]",70.0,28.0,78.0,25.0
824,Barcelona,Xavier Hernández Creus,Complete,,"[66.0, 29.0]","[74.0, 11.0]",66.0,29.0,74.0,11.0
826,Barcelona,Xavier Hernández Creus,Complete,,"[58.0, 26.0]","[38.0, 23.0]",58.0,26.0,38.0,23.0
842,Barcelona,Xavier Hernández Creus,Complete,,"[91.0, 35.0]","[115.0, 56.0]",91.0,35.0,115.0,56.0
